event_id,name,clean_description,location_room,start_date_clean,start_time,end_time,pre_reg_flag,paid_flag,laptop_flag,speakers_cleaned,session_type,keywords,skill_level,session_title
4632,A Chat with Adam Symson,"Join us for a one-on-one with the president and CEO of The E.W. Scripps Co. as we discuss the state of the media, his vision for the future and perspective on investigative journalism. Symson’s career has given him experience working in radio, as a television investigative producer and executive producer. As a leader at Scripps, he has served as Director of Investigations, Director of Content and Marketing, Chief Digital Officer, Chief Operating Officer and has been the CEO since August 2017. From advice on what makes a great story to running a successful business, this session is sure to leave you inspired about the industry. ",Montgomery A,2019-06-13,2019-06-13 11:30:00,2019-06-13 12:30:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4539,Backgrounding like a boss: Perfecting your 15-minute background check and why you should do it every time,"How are you sure that great source with the perfect quote isn't too good to be true? Even great reporters can get tricked by fake names or sketchy backgrounds. We'll walk through some websites and strategies you can use to create a routine and spot potential red flags before you get burned. This session is great for new reporters or anyone who wants to background people more thoroughly. This session is sponsored by the Knight Foundation. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Texas G,2019-06-15,2019-06-15 10:15:00,2019-06-15 11:15:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4557,"Best practices for student-led investigations: For students, by students", NA ,Meyerland,2019-06-15,2019-06-15 16:15:00,2019-06-15 17:15:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4571,Best practices for student-pro investigative collaborations,"Real life lessons in how student and professional journalists can best work together to produce high-impact investigative stories. Helpful insights for students, pros, educators and potential funders. ",Kingwood,2019-06-16,2019-06-16 11:30:00,2019-06-16 12:30:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4637,Broadcast Show & Tell - Friday #1,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-14,2019-06-14 09:00:00,2019-06-14 10:00:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4638,Broadcast Show & Tell - Friday #2,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-14,2019-06-14 10:15:00,2019-06-14 11:15:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4639,Broadcast Show & Tell - Friday #3,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-14,2019-06-14 11:30:00,2019-06-14 12:30:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4640,Broadcast Show & Tell - Saturday #1,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-15,2019-06-15 09:00:00,2019-06-15 10:00:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4641,Broadcast Show & Tell - Saturday #2,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-15,2019-06-15 10:15:00,2019-06-15 11:15:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4642,Broadcast Show & Tell - Saturday #3,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-15,2019-06-15 11:30:00,2019-06-15 12:30:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4643,Broadcast Show & Tell - Saturday #4,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-15,2019-06-15 15:00:00,2019-06-15 16:00:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4634,Broadcast Show & Tell - Thursday #1,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-13,2019-06-13 09:00:00,2019-06-13 10:00:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4635,Broadcast Show & Tell - Thursday #2,"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-13,2019-06-13 10:15:00,2019-06-13 11:15:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4636,Broadcast Show & Tell - Thursday #3 (Sponsored by Napoli Management Group),"Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes. Sign-ups will open June 10. This session is sponsored by the Napoli Management Group. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Kingwood,2019-06-13,2019-06-13 11:30:00,2019-06-13 12:30:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
4454,Broadcast Track: 30 ideas in 60 minutes,"Looking for story ideas? We’ve got 30 stories from broadcast investigative reporters that can be done in any market. You’ll walk away with a tipsheet full of ideas that can keep you busy for months. Come early and grab a seat. This panel is not to be missed. This session is sponsored by the National Association of Broadcasters. IRE retains control of content, including the topic and speaker selection, for all conference sessions. ",Texas H,2019-06-13,2019-06-13 09:00:00,2019-06-13 10:00:00,FALSE,FALSE,FALSE,NA,General,NA,NA,NA
